priority,band,action,page_type,url,title,h1,primary_keyword,secondary_keywords,word_count_target,schema,needs_review
147,growth,create,service,/b2b-lead-generation/,B2b Lead Generation | Vikram M A A,B2b Lead Generation,b2b lead generation,b2b lead generation strategies 2026; b2b lead generation; b2b lead generation india,900,,True
148,growth,create,service,/social-media-marketing/,Social Media Marketing | Vikram M A A,Social Media Marketing,social media marketing,social media marketing consultant near me; social media marketing,900,,True
149,growth,create,blog,/abandoned-cart-email-flow/,Abandoned Cart Email Flow | Vikram M A A,Abandoned Cart Email Flow,abandoned cart email flow,,1400,,True
150,growth,create,blog,/facebook-ad-account-disabled-india/,Facebook Ad Account Disabled India | Vikram M A A,Facebook Ad Account Disabled India,facebook ad account disabled india,,1400,,True
151,growth,create,blog,/manual-action-penalty-fix/,Manual Action Penalty Fix | Vikram M A A,Manual Action Penalty Fix,manual action penalty fix,,1400,,True
152,growth,create,blog,/what-marketing-metrics-actually-matter/,What Marketing Metrics Actually Matter | Vikram M A A,What Marketing Metrics Actually Matter,what marketing metrics actually matter,,1400,FAQPage,True
153,growth,create,service,/google-ads-management/,Google Ads Management | Vikram M A A,Google Ads Management,google ads management,,900,,True
154,growth,create,blog,/instagram-growth-without-ads/,Instagram Growth Without Ads | Vikram M A A,Instagram Growth Without Ads,instagram growth without ads,,1400,,True
155,growth,create,blog,/ugc-ads-india/,Ugc Ads India | Vikram M A A,Ugc Ads India,ugc ads india,,1400,,True
156,growth,create,blog,/meta-advantage-plus-shopping-campaigns/,Meta Advantage Plus Shopping Campaigns | Vikram M A A,Meta Advantage Plus Shopping Campaigns,meta advantage plus shopping campaigns,,1400,,True
157,growth,create,blog,/traffic-dropped-after-redesign/,Traffic Dropped After Redesign | Vikram M A A,Traffic Dropped After Redesign,traffic dropped after redesign,,1400,,True
158,growth,create,blog,/ai-agents-for-marketing/,Ai Agents for Marketing | Vikram M A A,Ai Agents for Marketing,ai agents for marketing,,1400,,True
159,growth,create,blog,/ai-generated-content-google-penalty/,Ai Generated Content Google Penalty | Vikram M A A,Ai Generated Content Google Penalty,ai generated content google penalty,,1400,,True
160,growth,create,blog,/should-i-use-ai-for-my-marketing/,Should I Use Ai for My Marketing | Vikram M A A,Should I Use Ai for My Marketing,should i use ai for my marketing,,1400,FAQPage,True
161,growth,create,blog,/ai-visibility-tracking-tools/,Ai Visibility Tracking Tools | Vikram M A A,Ai Visibility Tracking Tools,ai visibility tracking tools,,1400,,True
162,growth,create,blog,/google-algorithm-update-recovery/,Google Algorithm Update Recovery | Vikram M A A,Google Algorithm Update Recovery,google algorithm update recovery,,1400,,True
163,growth,create,blog,/marketing-and-sales-alignment/,Marketing and Sales Alignment | Vikram M A A,Marketing and Sales Alignment,marketing and sales alignment,,1400,,True
164,growth,create,blog,/attribution-problems-ios/,Attribution Problems Ios | Vikram M A A,Attribution Problems Ios,attribution problems ios,,1400,,True
165,growth,create,blog,/case-study-format-b2b/,Case Study Format B2b | Vikram M A A,Case Study Format B2b,case study format b2b,,1400,,True
166,growth,create,blog,/lead-magnet-ideas-b2b/,Lead Magnet Ideas B2b | Vikram M A A,Lead Magnet Ideas B2b,lead magnet ideas b2b,,1400,,True
167,growth,create,service,/blended-roas-vs-maer/,Blended Roas Vs Maer | Vikram M A A,Blended Roas Vs Maer,blended roas vs maer,,900,,True
168,growth,create,blog,/should-i-block-gptbot/,Should I Block Gptbot | Vikram M A A,Should I Block Gptbot,should i block gptbot,,1400,FAQPage,True
169,growth,create,blog,/does-blogging-still-work-2026/,Does Blogging Still Work 2026 | Vikram M A A,Does Blogging Still Work 2026,does blogging still work 2026,,1400,,True
170,growth,create,blog,/marketing-for-bootstrapped-startups-india/,Marketing for Bootstrapped Startups India | Vikram M A A,Marketing for Bootstrapped Startups India,marketing for bootstrapped startups india,,1400,,True
171,growth,create,blog,/d2c-brand-launch-checklist-india/,D2c Brand Launch Checklist India | Vikram M A A,D2c Brand Launch Checklist India,d2c brand launch checklist india,,1400,,True
172,growth,create,blog,/brand-messaging-framework/,Brand Messaging Framework | Vikram M A A,Brand Messaging Framework,brand messaging framework,,1400,,True
173,growth,create,blog,/content-brief-template/,Content Brief Template | Vikram M A A,Content Brief Template,content brief template,,1400,,True
174,growth,create,service,/whatsapp-broadcast-vs-status/,Whatsapp Broadcast Vs Status | Vikram M A A,Whatsapp Broadcast Vs Status,whatsapp broadcast vs status,,900,,True
175,growth,create,blog,/link-building-india/,Link Building India | Vikram M A A,Link Building India,link building india,,1400,,True
176,growth,create,blog,/how-indian-businesses-get-international-clients/,How Indian Businesses Get International Clients,How Indian Businesses Get International Clients,how indian businesses get international clients,,1400,FAQPage,True
177,growth,create,service,/lead-form-vs-whatsapp-button/,Lead Form Vs Whatsapp Button | Vikram M A A,Lead Form Vs Whatsapp Button,lead form vs whatsapp button,,900,,True
178,growth,create,blog,/performance-max-campaigns-explained/,Performance Max Campaigns Explained | Vikram M A A,Performance Max Campaigns Explained,performance max campaigns explained,,1400,,True
179,growth,create,blog,/canonical-tag-explained/,Canonical Tag Explained | Vikram M A A,Canonical Tag Explained,canonical tag explained,,1400,,True
180,growth,create,blog,/site-migration-checklist/,Site Migration Checklist | Vikram M A A,Site Migration Checklist,site migration checklist,,1400,,True
181,growth,create,blog,/zero-click-searches-india/,Zero Click Searches India | Vikram M A A,Zero Click Searches India,zero click searches india,,1400,,True
182,growth,create,blog,/selling-to-us-clients-from-india/,Selling to Us Clients From India | Vikram M A A,Selling to Us Clients From India,selling to us clients from india,,1400,,True
183,growth,create,service,/cold-email-vs-linkedin-outreach/,Cold Email Vs Linkedin Outreach | Vikram M A A,Cold Email Vs Linkedin Outreach,cold email vs linkedin outreach,,900,,True
184,growth,create,blog,/duplicate-content-issues/,Duplicate Content Issues | Vikram M A A,Duplicate Content Issues,duplicate content issues,,1400,,True
185,growth,create,blog,/helpful-content-update-recovery/,Helpful Content Update Recovery | Vikram M A A,Helpful Content Update Recovery,helpful content update recovery,,1400,,True
186,growth,create,blog,/how-to-write-content-that-ranks/,How to Write Content That Ranks | Vikram M A A,How to Write Content That Ranks,how to write content that ranks,,1400,FAQPage,True
187,growth,create,service,/conversion-rate-optimisation/,Conversion Rate Optimisation | Vikram M A A,Conversion Rate Optimisation,conversion rate optimisation,,900,,True
188,growth,create,blog,/why-leads-are-not-converting-to-sales/,Why Leads Are Not Converting to Sales | Vikram M A A,Why Leads Are Not Converting to Sales,why leads are not converting to sales,,1400,FAQPage,True
189,growth,create,blog,/why-is-my-website-not-converting/,Why Is My Website Not Converting | Vikram M A A,Why Is My Website Not Converting,why is my website not converting,,1400,FAQPage,True
190,growth,create,blog,/core-web-vitals-india/,Core Web Vitals India | Vikram M A A,Core Web Vitals India,core web vitals india,,1400,,True
191,growth,create,blog,/ideal-customer-profile-template/,Ideal Customer Profile Template | Vikram M A A,Ideal Customer Profile Template,ideal customer profile template,,1400,,True
192,growth,create,blog,/meta-description-length-2026/,Meta Description Length 2026 | Vikram M A A,Meta Description Length 2026,meta description length 2026,,1400,,True
193,growth,create,blog,/mobile-first-design-india/,Mobile First Design India | Vikram M A A,Mobile First Design India,mobile first design india,,1400,,True
194,growth,create,blog,/digital-pr-india/,Digital Pr India | Vikram M A A,Digital Pr India,digital pr india,,1400,,True
195,growth,create,blog,/how-to-sell-without-discounting/,How to Sell Without Discounting | Vikram M A A,How to Sell Without Discounting,how to sell without discounting,,1400,FAQPage,True
196,growth,create,blog,/spf-dkim-dmarc-setup/,Spf Dkim Dmarc Setup | Vikram M A A,Spf Dkim Dmarc Setup,spf dkim dmarc setup,,1400,,True
197,growth,create,blog,/earning-in-usd-from-india/,Earning in Usd From India | Vikram M A A,Earning in Usd From India,earning in usd from india,,1400,,True
198,growth,create,blog,/email-marketing-for-indian-ecommerce/,Email Marketing for Indian Ecommerce | Vikram M A A,Email Marketing for Indian Ecommerce,email marketing for indian ecommerce,,1400,,True
199,growth,create,blog,/positioning-statement-examples/,Positioning Statement Examples | Vikram M A A,Positioning Statement Examples,positioning statement examples,,1400,,True
200,growth,create,blog,/search-intent-explained/,Search Intent Explained | Vikram M A A,Search Intent Explained,search intent explained,,1400,,True
201,growth,create,blog,/google-maps-ranking-factors/,Google Maps Ranking Factors | Vikram M A A,Google Maps Ranking Factors,google maps ranking factors,,1400,,True
202,growth,create,blog,/llms-txt-file/,Llms Txt File | Vikram M A A,Llms Txt File,llms txt file,,1400,,True
203,growth,create,blog,/first-marketing-hire-startup/,First Marketing Hire Startup | Vikram M A A,First Marketing Hire Startup,first marketing hire startup,,1400,,True
204,growth,create,blog,/gmail-spam-folder-fix/,Gmail Spam Folder Fix | Vikram M A A,Gmail Spam Folder Fix,gmail spam folder fix,,1400,,True
205,growth,create,blog,/page-not-indexed-fix/,Page Not Indexed Fix | Vikram M A A,Page Not Indexed Fix,page not indexed fix,,1400,,True
206,growth,create,blog,/founder-led-marketing/,Founder Led Marketing | Vikram M A A,Founder Led Marketing,founder led marketing,,1400,,True
207,growth,create,blog,/lead-qualification-framework/,Lead Qualification Framework | Vikram M A A,Lead Qualification Framework,lead qualification framework,,1400,,True
208,growth,create,service,/freelance-rates-india-vs-usa/,Freelance Rates India Vs Usa | Vikram M A A,Freelance Rates India Vs Usa,freelance rates india vs usa,,900,,True
209,growth,create,blog,/gmb-ranking-tips-india/,Gmb Ranking Tips India | Vikram M A A,Gmb Ranking Tips India,gmb ranking tips india,,1400,,True
210,growth,create,blog,/google-tag-manager-setup/,Google Tag Manager Setup | Vikram M A A,Google Tag Manager Setup,google tag manager setup,,1400,,True
211,growth,create,blog,/how-to-get-more-google-reviews/,How to Get More Google Reviews | Vikram M A A,How to Get More Google Reviews,how to get more google reviews,,1400,FAQPage,True
212,growth,create,blog,/how-to-respond-to-negative-google-reviews/,How to Respond to Negative Google Reviews | Vikram M A A,How to Respond to Negative Google Reviews,how to respond to negative google reviews,,1400,FAQPage,True
213,growth,create,blog,/gtm-strategy-india/,Gtm Strategy India | Vikram M A A,Gtm Strategy India,gtm strategy india,,1400,,True
214,growth,create,blog,/guest-posting-still-works/,Guest Posting Still Works | Vikram M A A,Guest Posting Still Works,guest posting still works,,1400,,True
215,growth,create,blog,/objection-handling-script/,Objection Handling Script | Vikram M A A,Objection Handling Script,objection handling script,,1400,,True
216,growth,create,blog,/instagram-reels-strategy-india/,Instagram Reels Strategy India | Vikram M A A,Instagram Reels Strategy India,instagram reels strategy india,,1400,,True
217,growth,create,blog,/website-loading-slow-on-mobile-india/,Website Loading Slow on Mobile India | Vikram M A A,Website Loading Slow on Mobile India,website loading slow on mobile india,,1400,,True
218,growth,create,blog,/marketing-budget-percentage-of-revenue-india/,Marketing Budget Percentage of Revenue India | Vikram M A A,Marketing Budget Percentage of Revenue India,marketing budget percentage of revenue india,,1400,,True
219,growth,create,blog,/server-side-tracking-india/,Server Side Tracking India | Vikram M A A,Server Side Tracking India,server side tracking india,,1400,,True
220,growth,create,blog,/page-speed-optimisation-for-indian-websites/,Page Speed Optimisation for Indian Websites | Vikram M A A,Page Speed Optimisation for Indian Websites,page speed optimisation for indian websites,,1400,,True
221,growth,create,blog,/how-often-should-i-post-on-instagram/,How Often Should I Post on Instagram | Vikram M A A,How Often Should I Post on Instagram,how often should i post on instagram,,1400,FAQPage,True
222,growth,create,blog,/internal-linking-strategy/,Internal Linking Strategy | Vikram M A A,Internal Linking Strategy,internal linking strategy,,1400,,True
223,growth,create,service,/negative-keywords-list/,Negative Keywords List | Vikram M A A,Negative Keywords List,negative keywords list,,900,,True
224,growth,create,service,/landing-page-optimisation/,Landing Page Optimisation | Vikram M A A,Landing Page Optimisation,landing page optimisation,,900,,True
225,growth,create,blog,/migrating-website-without-losing-traffic/,Migrating Website Without Losing Traffic | Vikram M A A,Migrating Website Without Losing Traffic,migrating website without losing traffic,,1400,,True
226,growth,create,blog,/performance-max-wasting-budget/,Performance Max Wasting Budget | Vikram M A A,Performance Max Wasting Budget,performance max wasting budget,,1400,,True
227,growth,create,blog,/robots-txt-mistakes/,Robots Txt Mistakes | Vikram M A A,Robots Txt Mistakes,robots txt mistakes,,1400,,True
228,growth,create,blog,/sales-pipeline-stages/,Sales Pipeline Stages | Vikram M A A,Sales Pipeline Stages,sales pipeline stages,,1400,,True
229,growth,create,service,/local-seo/,Local Seo | Vikram M A A,Local Seo,local seo,seo services near me open now; local seo services near me; local seo; seo services near me,900,,True
230,growth,create,service,/crm-for-small-business-india/,Crm for Small Business India | Vikram M A A,Crm for Small Business India,crm for small business india,,900,,True
231,growth,create,service,/quick-commerce-vs-d2c-website/,Quick Commerce Vs D2c Website | Vikram M A A,Quick Commerce Vs D2c Website,quick commerce vs d2c website,,900,,True
232,growth,create,service,/seo-consultant/,Seo Consultant | Vikram M A A,Seo Consultant,seo consultant,seo consultant cost india; top seo consultants in india; seo consultant near me; seo consultant,900,,True
233,growth,create,service,/performance-marketing/,Performance Marketing | Vikram M A A,Performance Marketing,performance marketing,performance marketing consultant near me; performance marketing; performance marketing consultant india,900,,True
234,growth,create,service,/meta-ads/,Meta Ads | Vikram M A A,Meta Ads,meta ads,meta ads expert near me; meta ads,900,,True
235,growth,create,service,/content-marketing/,Content Marketing | Vikram M A A,Content Marketing,content marketing,content marketing consultant near me; content marketing,900,,True
236,growth,create,service,/lead-generation/,Lead Generation | Vikram M A A,Lead Generation,lead generation,lead generation consultant near me; lead generation,900,,True
237,growth,create,service,/technical-seo/,Technical Seo | Vikram M A A,Technical Seo,technical seo,what is technical seo,900,FAQPage,True
238,growth,create,service,/cold-email/,Cold Email | Vikram M A A,Cold Email,cold email,cold email,900,,True
239,growth,create,service,/marketing-analytics/,Marketing Analytics | Vikram M A A,Marketing Analytics,marketing analytics,,900,,True
240,growth,create,service,/ecommerce-seo/,Ecommerce Seo | Vikram M A A,Ecommerce Seo,ecommerce seo,,900,,True
241,growth,create,service,/keyword-research/,Keyword Research | Vikram M A A,Keyword Research,keyword research,,900,,True
242,growth,create,service,/linkedin-marketing/,Linkedin Marketing | Vikram M A A,Linkedin Marketing,linkedin marketing,,900,,True
243,growth,create,service,/whatsapp-marketing/,Whatsapp Marketing | Vikram M A A,Whatsapp Marketing,whatsapp marketing,,900,,True
244,growth,create,service,/cta-button-best-practices/,Cta Button Best Practices | Vikram M A A,Cta Button Best Practices,cta button best practices,,900,,True
245,growth,create,service,/search-campaigns-vs-pmax/,Search Campaigns Vs Pmax | Vikram M A A,Search Campaigns Vs Pmax,search campaigns vs pmax,,900,,True
246,growth,create,service,/generative-engine-optimisation/,Generative Engine Optimisation | Vikram M A A,Generative Engine Optimisation,generative engine optimisation,,900,,True
247,growth,create,service,/haro-alternatives-india/,Haro Alternatives India | Vikram M A A,Haro Alternatives India,haro alternatives india,,900,,True
248,growth,create,service,/marketplace-vs-own-website-india/,Marketplace Vs Own Website India | Vikram M A A,Marketplace Vs Own Website India,marketplace vs own website india,,900,,True
249,growth,create,service,/near-me-searches-india/,Near Me Searches India | Vikram M A A,Near Me Searches India,near me searches india,,900,,True
250,growth,create,service,/vanity-metrics-vs-revenue-metrics/,Vanity Metrics Vs Revenue Metrics | Vikram M A A,Vanity Metrics Vs Revenue Metrics,vanity metrics vs revenue metrics,,900,,True
251,growth,create,service,/utm-parameters-best-practice/,Utm Parameters Best Practice | Vikram M A A,Utm Parameters Best Practice,utm parameters best practice,,900,,True
252,growth,create,service,/xml-sitemap-best-practices/,Xml Sitemap Best Practices | Vikram M A A,Xml Sitemap Best Practices,xml sitemap best practices,,900,,True
253,growth,create,service,/url-structure-best-practices/,Url Structure Best Practices | Vikram M A A,Url Structure Best Practices,url structure best practices,,900,,True
254,growth,create,service,/title-tag-best-practices/,Title Tag Best Practices | Vikram M A A,Title Tag Best Practices,title tag best practices,,900,,True
255,growth,create,service,/marketing-audit/,Marketing Audit | Vikram M A A,Marketing Audit,marketing audit,marketing audit checklist; free marketing audit; how to audit your digital marketing,900,FAQPage,True
256,growth,create,service,/link-building/,Link Building | Vikram M A A,Link Building,link building,broken link building,900,,True
257,growth,create,service,/d2c-marketing/,D2c Marketing | Vikram M A A,D2c Marketing,d2c marketing,d2c marketing,900,,True
258,growth,create,service,/sales-training/,Sales Training | Vikram M A A,Sales Training,sales training,sales training for founders,900,,True
259,growth,create,service,/saas-marketing/,Saas Marketing | Vikram M A A,Saas Marketing,saas marketing,saas marketing india,900,,True
260,growth,create,service,/startup-marketing/,Startup Marketing | Vikram M A A,Startup Marketing,startup marketing,startup marketing on a small budget,900,,True
261,growth,create,service,/nap-consistency/,Nap Consistency | Vikram M A A,Nap Consistency,nap consistency,,900,,True
262,growth,create,service,/eeat-explained/,Eeat Explained | Vikram M A A,Eeat Explained,eeat explained,,900,,True
263,growth,create,service,/email-marketing/,Email Marketing | Vikram M A A,Email Marketing,email marketing,,900,,True
264,growth,create,service,/instagram-marketing/,Instagram Marketing | Vikram M A A,Instagram Marketing,instagram marketing,,900,,True
265,growth,create,service,/marketing-training/,Marketing Training | Vikram M A A,Marketing Training,marketing training,,900,,True
266,growth,create,service,/youtube-marketing/,Youtube Marketing | Vikram M A A,Youtube Marketing,youtube marketing,,900,,True
267,growth,create,blog,/how-to-get-cited-by-perplexity/,How to Get Cited By Perplexity | Vikram M A A,How to Get Cited By Perplexity,how to get cited by perplexity,,1400,FAQPage,True
